standingRank,pick,team,lottery,odds,combos,protectedTop,transferTo
32,1,Vancouver,true,18.5,185,,
31,2,Chicago,true,13.5,135,,
30,3,NY Rangers,true,11.5,115,,
29,4,Calgary,true,9.5,95,,
28,5,Toronto,true,8.5,85,5,Boston
27,6,Seattle,true,7.5,75,,
26,7,Winnipeg,true,6.5,65,,
25,8,Florida,true,6.0,60,,
24,9,San Jose,true,5.0,50,,
23,10,Nashville,true,3.5,35,,
22,11,St. Louis,true,3.0,30,,
21,12,New Jersey,true,2.5,25,,
20,13,NY Islanders,true,2.0,20,,
19,14,Columbus,true,1.5,15,,
18,15,St. Louis (DET),true,0.5,5,,
17,16,Washington,true,0.5,5,,
16,17,Los Angeles,false,0,0,,
15,18,Washington (ANA),false,0,0,,
14,19,Utah,false,0,0,,
13,20,San Jose (EDM),false,0,0,,
12,21,Philadelphia,false,0,0,,
11,22,Pittsburgh,false,0,0,,
10,23,Boston,false,0,0,,
9,24,Vancouver (MIN),false,0,0,,
8,25,Seattle (TBL),false,0,0,,
7,26,NY Rangers (DAL),false,0,0,,
6,27,Buffalo,false,0,0,,
5,28,Calgary (VGK),false,0,0,,
4,29,Montreal,false,0,0,,
3,30,Carolina,false,0,0,,
2,31,St. Louis (COL),false,0,0,,
1,32,Ottawa,false,0,0,,
